Age,f1,f1_sigma,f2,f2_sigma,f3,f3_sigma,f4,f4_sigma,f5,f5_sigma,chi1,coc1,dis1,ret1,chi2,coc2,dis2,ret2,chi3,coc3,dis3,ret3,chi4,coc4,dis4,ret4,chi5,coc5,dis5,ret5
38.575079,2.25,0.0025,2.24,5.55E-17,2.23,0.011666667,NaN,0.011666667,1.87,0.064833333,0,5.88,4.42,87.48,0,9.25,19.85,63.8,0.38,8.39,51.71,25.09,0,0,0,0,14.45,53.71,24.44,6.96
38.701348,2.2,0.005,2.22,0.0025,2.22,0.0025,2.24,0.12125,1.29,0.2375,0,11.43,7.44,70.37,0,15.34,18.65,44.95,0,27.16,27.15,35.92,2.56,13.68,41.03,42.74,11.95,65.24,9.26,7.67
39.441302,2.62,0.025,2.52,0.02625,2.63,0.01375,2.63,0.02875,2.4,0.0575,0,17.92,14.09,62.15,0,23,16.76,42.62,0,23.23,34.9,32.28,0,21.24,44.25,28.32,20.83,43.58,6.92,22.23
40.042625,2.24,0.005,2.26,0.0175,2.42,0.011666667,NaN,0.011666667,2.23,0.064833333,0,13.72,1.53,74.65,0,29.36,13.65,52.45,0,21.21,32.62,40.25,0,0,0,0,23.86,49.46,5.75,16.64
41.013925,2.05,0.02,2.13,0.0025,2.23,0.025,2.13,0.045,1.67,0.115,0,18.56,3.2,65.52,0,23.78,16.83,30.14,0.39,19.4,39.14,22.39,8.96,23.88,21.64,41.04,29.27,36.56,1.07,27.71
41.384785,2.12,0.0125,2.17,0.005,2.18,5.55E-17,2.19,0.08625,1.51,0.17,0,10.26,2.53,60.9,0,22.06,7.24,40.58,0.29,23.76,15.81,36.57,5.13,28.85,18.59,44.87,24.67,46.78,3.5,21.94
41.97764603,1.84,0.04,2,0.01125,2.07,0.025,1.94,0.08875,1.1,0.21,0,16,3.32,25.73,0,26.34,17.44,26.82,0.3,34.12,33.56,17.89,12.21,32.82,38.93,12.98,44.19,37.75,11.26,0.88
41.98714688,1.89,0.0325,2.02,0.00375,2.12,0.011666667,,0.011666667,1.35,0.064833333,0,16.92,4.41,21.66,0,26.73,17.4,28.55,0,27.32,29.57,33.17,1.88,30,31.88,31.88,28.32,46.16,7.8,8.65
42.90412963,2.14,0.025,2.24,0.01125,2.25,0.03125,2.01,0.04,1.45,0.14,0,16.42,0.3,51.46,0,32.15,8.38,26.84,20.8,32.87,23.22,11.17,47.97,19.51,17.89,12.2,69.67,13.76,5.71,2.36
43.67461409,2.04,0.005,2.06,0.01375,1.97,0.01,1.96,0.06125,1.46,0.125,0,23.67,0,50.96,0,28.89,4.86,37.64,12.13,39.08,15.31,16.27,35.48,38.06,11.61,13.55,74.86,12.34,9.7,0
43.88200058,1.91,0.015,1.97,0.00625,1.98,0.011666667,,0.011666667,1.15,0.064833333,0,14.83,1.08,52.16,0,28.84,11.01,20.4,2.04,28.74,42.67,14.96,20.77,25.38,30,16.92,47.65,31.66,12.23,3.14
44.83227134,1.93,0.0125,1.98,0.0225,2.21,0.0375,2.14,0.08125,1.42,0.18,0,9.57,2.6,62.63,0,18.49,12.89,45.26,10.94,18.22,34.67,18.92,29.25,17.01,44.22,4.76,50.2,39.34,6.97,0
45.5569028,1.89,0.0025,1.9,0.02625,2.12,0.04625,1.97,0.0475,1.44,0.1325,0,13.67,2.53,57.44,0,18.72,8.84,33.06,6.8,33.62,25.14,15.37,15.89,21.85,35.76,2.65,40.49,26.36,28.93,0
46.17146105,1.42,0.02,1.5,0.005,1.62,0.03125,1.49,0.0175,1.22,0.0675,0,9.07,5.76,51.7,0,19.6,18.33,36.02,7.22,22.33,33.73,12.11,17.54,22.81,38.6,7.02,61.34,10.84,22.19,0
46.88588475,1.87,0.02,1.95,0.00125,2.04,0.011666667,NaN,0.011666667,1.74,0.064833333,0,9.89,0.28,43.73,0,23.3,11.74,32.52,15.88,22.52,36.52,1.48,0,0,0,0,27.42,41.32,23.05,0
47.36639102,1.82,0.0325,1.95,0.01,2.16,0.0325,2.11,0.02375,1.87,0.06,0,10.66,3.75,51.74,0,18.8,19.24,35.11,7.97,18.15,54.32,6.79,6.84,29.91,47.86,5.98,32.29,4.33,51.64,0
47.38041658,1.72,0.0325,1.85,0.005,2.02,0.05625,1.74,0.015,1.58,0.04,0,11.59,3.55,53.64,0,13.01,17.05,30.72,6.83,17.09,39.5,12.48,24.31,15.47,43.09,1.66,32.2,21,36.08,0
48.25066369,1.8,0.06,2.04,0.04125,1.95,0.0275,2.08,0.03125,1.96,0.03,0,18.31,9.6,32.98,0,21.23,26.99,5.59,5,24.33,40.67,0,16.67,13.04,49.28,0,30.15,4.52,58.1,0
49.42149858,1.79,0.05,1.99,0.02875,1.96,0.00625,1.98,0.02625,1.79,0.0475,0,25.38,7.4,24.17,0,22.53,25.51,4.86,4.32,34.52,34.27,3.17,25.93,12.59,34.81,0,26.55,5.89,58.7,0
49.95636917,2.03,0.0175,1.96,0.00875,1.96,0.011666667,NaN,0.011666667,1.89,0.064833333,0,10.78,33.99,8.03,0,14.38,44.88,0.61,0.56,16.53,50.57,0,5.23,14.53,50.58,0,10.82,3.05,75.79,0
50.73757492,1.58,0.06,1.82,0.035,1.78,0.03,1.98,0.05,1.78,0.05,0,22.98,12.35,3.92,0,19.76,24.15,3.9,4.42,25.6,29.71,0,7.65,22.35,37.06,0,11.21,8.64,59.9,0
50.86013554,1.42,0.0625,1.67,0.035,1.64,0.0175,1.75,0.025,1.66,0.0225,0,30.12,15.07,2.85,0,27.72,19,2.11,2.17,29.14,29.88,0,1.54,19.23,60.77,0,7.64,4.22,77.07,0
51.57173128,1.46,0.0075,1.49,0.00125,1.53,0.005,1.53,0.0025,1.51,0.005,0,22.28,13.23,0.7,0,23.56,32.21,0.37,1.67,9.59,67.08,0,8.11,7.43,45.27,0,8.99,5.17,48.99,0
51.76186408,0.79,0.03,0.91,0.00375,1.06,0.0125,1.11,0.0225,0.98,0.0325,0,17.41,18.52,0.4,0.261780105,17.47,37.75,0.78,1.78,19.79,44.59,0,4.07,9.76,30.89,0,4.06,5.88,41.44,0
52.39823347,1.26,0.0175,1.33,0.00375,1.37,0.00125,1.4,0.0325,1.17,0.0575,0,44.57,2.02,0,1.139684395,46.42,7.7,0.28,12.88,31.68,32.43,0,15.75,8.66,34.65,0,4.25,5.01,49.8,0
52.59990452,1.1,0.0275,1.21,0.00125,1.33,0.01,1.37,0.00875,1.34,0.0075,0,48.83,1.82,0,0.984921119,48.52,8.91,0,8.26,31.13,30.04,0,12.66,23.42,32.91,0,15.22,14.04,47.4,0
52.88088993,0.86,0.0325,0.99,0.0075,1.06,0.02375,0.94,0.0175,0.96,0.005,0,52.32,4.14,0,0.95460199,39.15,6.82,0,9.9,23.01,26.81,0,10.44,18.68,33.52,0,8.73,14.2,38.08,0
53.42973499,1.25,0.035,1.39,0.03125,1.28,0.02375,1.36,0.02125,1.27,0.0225,0,61.92,2.15,0,1.778872469,44.05,9.23,0,8.95,20.11,25.27,0,19.85,15.27,36.64,0,12.77,6.31,35.55,0
53.93423893,1.24,0.015,1.3,0.0025,1.34,0.011666667,NaN,0.011666667,1.42,0.064833333,0,49.04,2,0,3.943461586,34.09,4.31,0,9.17,33.46,17.26,0,11.54,21.54,43.85,0,18.01,13.96,38.06,0
54.00014231,0.76,0.0375,0.91,0.00125,1.05,0.02,1.03,0.0125,1.11,0.02,0,56.9,1.5,0,1.742252457,43.73,6.56,0,10.22,28.39,27.75,0,12.28,43.86,26.32,0,9.52,8.6,62.29,0
54.15698391,1.19,0.0175,1.26,0.00875,1.4,0.01,1.46,0.005,1.48,0.005,0,41.11,1.18,0,1.929240631,28.69,9.54,0,18.31,32.5,20.48,0,21.43,19.05,54.76,0,5.41,5.02,75.29,0
54.16701682,1.26,0.0075,1.29,0.01625,1.45,0.02875,1.38,0.00125,1.3,0.02,0,62.62,0.7,0,2.138107729,31.7,3.28,0,16.05,23.33,23.58,0,24.49,18.37,31.97,0,16.11,9.55,59.54,0
54.18586618,1.56,0.04,1.72,0.00375,1.85,0.0075,1.92,0.0425,1.65,0.0675,0,71.15,0.35,0,0.643602463,54.83,1.77,0,30.1,28.63,31,0,26.4,10.15,54.31,0,26.56,8.57,55.17,0
54.62663292,1.8,0.0525,2.01,0.01,2.14,0.02625,2.06,0.0175,1.84,0.055,0,60.53,0.52,0,15.26100751,29.87,9.46,0,19.58,17.51,38.56,0,29.13,16.54,40.16,0,8.05,5.61,69.46,0
54.77540864,1.71,0.005,1.69,0.06125,2.16,0.0575,2.17,0.0275,1.96,0.0525,0,52.34,0.79,0,8.388349034,34.23,12.98,0,21.82,23.41,34.53,0,22.63,14.81,54.73,0,3.43,1.47,90.2,0
55.16106463,1.58,0.0375,1.73,0.0075,1.94,0.02625,1.94,0.04125,1.61,0.0825,0,68.68,1.06,0,3.449127709,46.9,8.96,0,12.44,17.51,28.63,0,7.28,1.32,60.93,0,3.5,2.77,61.89,0
55.55808886,-0.85,0.035,-0.71,0.04625,-0.2,0.06,-0.17,0.06,-0.62,0.1125,0,47.37,0.38,0,1.273472912,35.38,10.96,0,5.23,28.38,48.06,0,5.66,5.66,76.42,0,3.54,3.57,85.78,0
